,Company,Job,Location,Salary,Specific_location,Summary
0,Home Office,Software Engineering Intern,Sheffield,33048.0,Sheffield S3,Alternatively have a Computer science or related degree. We also build internal systems that provide staff with access to the data they need to keep the streets...
1,University of Sheffield,Research Associate in One-shot Learning of Human Motion,Sheffield,30688.0,Sheffield,Medicine and the life sciences. Departments in the UK for computer science research. The Department of Computer Science was established in 1982 and has since...
2,University of Sheffield,Econometrician Research Associate/Fellow,Sheffield,39205.0,Sheffield,The analysis of non-randomised data. Post is within the Health Economics and Decision Science (HEDS) section of the School of Health and Related Research....
3,University of Sheffield,Marie Curie Early Stage Researcher in Verification and Valid...,Sheffield,31932.0,Sheffield,"Models that fuse data with physics-based models. We are seeking candidates with a master’s degree in engineering, mathematics, physics, computer science or a..."
4,DataConsulting,Data Insight Analyst,Sheffield,20000.0,Wakefield,"Accounting, Computer Science, Business, Finance, Engineering, etc.); DataConsulting is seeking a graduate Data Insight Analyst to join its Professional Services..."
5,AXA UK,Data Scientist,Sheffield,32482.0,United Kingdom,"Data Scientist Challenge.pdf Data Scientist Challenge.pdf. Likely to be a recent Engineering, Science or Maths graduate, you will fully utilise your statistical..."
6,University of Derby,Researcher - Fixed-term for 36 months,Sheffield,30995.5,Derbyshire,"Your contribution to projects might include contributing ideas, developing research plans, collecting and analyzing data and co-authoring outputs with other..."
7,Aspire Data Recruitment,Senior Data Science Analyst,Sheffield,37500.0,Sheffield,Experience within a data analyst role working with large volume data warehouses. Seek continual improvement in the quality of data and to make recommendations...
8,Benchmark Recruit,SalesForce Developer -44791,Sheffield,29000.0,Sheffield,Data & Tools*. Work with the Data Coordinator and external customers to curate and manage the quality of data....
9,ADAS,Crop Research Consultant,Sheffield,24500.0,Mansfield,"You will have a good understanding of crop production, crop physiology, soil science and farming, have excellent numeracy and data analysis skills and..."
10,Müller UK & Ireland,Eden Dairy Technologist Apprenticeship,Sheffield,16000.0,Derbyshire,"GCSE English, Maths (Higher) and Science at grade C (level 5) or equivalent. Interpret and process data to make adjustments to process parameters in order to..."
11,Human,Product Design Engineer,Sheffield,35000.0,Sheffield,"PDM software and general product data management. Materials science experience, and an understanding of material properties...."
12,Mattinson Partnership,Air Quality Consultant,Sheffield,26000.0,South Yorkshire,"BSc qualification in the environmental sciences or chemistry. Your ability to process and interpret data will be of real benefit in this role, as will your..."
13,University of Derby,Lecturer in Computing,Sheffield,35218.5,Derbyshire,"Antonio Liotta, Director of Data Science Research Centre ( A.Liotta@derby.ac.uk ). They will actively participate to the development of the newly formed Data..."
14,National Physical Laboratory,Research Scientist - Digital Manufacturing,Sheffield,26220.0,Huddersfield,"Ideal skills would include design or assembly of basic sensor systems, integrating sensors into practical machine monitoring systems, capture and use of data..."
15,Health and Safety Executive,Senior Software Developer,Sheffield,40348.5,Buxton,Science Division is the part of HSE responsible for Science and Commercial work. First or upper second class honours degree or equivalent in computer science or...
16,Atkinson Page Ltd,Technical Assistant,Sheffield,19000.0,Huddersfield,Trending and reporting of microbiological data on-conformances and microbiological testing. To be successful in this role you will need to be degree educated in...
17,Health and Safety Executive,Occupational Health Specialist,Sheffield,40934.5,Buxton SK17, Research and develop opportunities that support HSEs science and evidence base. These world class facilities enable HSE's Science Division to be at the...
18,Premier Technical Recruitment,Senior Software Engineer,Sheffield,45000.0,Chesterfield,"To be considered for this varied and challenging role, it is envisaged that the successful candidate will be qualified to at least degree level in Computer..."
20,Marmion Recruitment,Senior .NET Developer,Sheffield,35000.0,Sheffield,Analyse data contained in the corporate database and identify data integrity issues with existing and proposed systems and implement solutions....
21,HEOR - Health Economics and Outcomes Research,Data Scientist,Cardiff,35000.0,Cardiff,A graduate qualification in computer science or numerical/statistical discipline. Health Economics and Outcomes Research Ltd has a dynamic team of 30...
22,Cardiff University,Research Assistant,Cardiff,28591.5,Cardiff,"This position may be suitable for someone with a background in an appropriate area of biomedical and life sciences e.g. psychology, social sciences,..."
23,Motonovo Finance,Data Strategy Reporting and MI Manager,Cardiff,55000.0,Cardiff,"TBC Through continued expansion, we are seeking a Data Strategy Reporting and MI Manager to join our Data and Decision Science Team...."
